https://greatawakening.win/p/140vaMfeFT/followup-on-moderna-bad-batches-/c/

vax_lot  | expiry_date 
-----------+-------------
 017K21A   | 2022-06-07
 072K21A   | 2022-06-02
 073K21A   | 2022-06-02
 081J21A   | 2022-06-01
 080J21A   | 2022-05-31
 070K21A   | 2022-05-31
 069K21A   | 2022-05-30
 068K21A   | 2022-05-29
 052K21-2A | 2022-05-25
 054K21A   | 2022-05-25
 034K21A   | 2022-05-21
 033K21-2A | 2022-05-20
 032K21A   | 2022-05-19
 078J21A   | 2022-05-18
 031K21A   | 2022-05-18
 028K21A   | 2022-05-17
 030K21A   | 2022-05-16
 029K21A   | 2022-05-15
 003K21-2A | 2022-05-13
 002K21A   | 2022-05-12
 007K21-2A | 2022-05-11
 005K21A   | 2022-05-10
 004K21A   | 2022-05-10
 074J21A   | 2022-05-09
 006K21A   | 2022-05-08
 001K21A   | 2022-05-08
 086J21A   | 2022-05-06
 073J21A   | 2022-05-06
 085J21A   | 2022-05-05
 084J21A   | 2022-05-05
 083J21A   | 2022-05-03
 072J21A   | 2022-05-03
 045J21A   | 2022-05-02
 071J21A   | 2022-05-01
 044J21A   | 2022-05-01
 042J21A   | 2022-04-29
 007H21A   | 2022-04-28
 041J21A   | 2022-04-28
 040J21A   | 2022-04-26
 039J21A   | 2022-04-25
 023J21A   | 2022-04-25
 004H21A   | 2022-04-24
 022J21A   | 2022-04-24
 021J21A   | 2022-04-23
 016J21-2A | 2022-04-17
 007J21-2A | 2022-04-16
 003J21-2A | 2022-04-14
 001J21-2A | 2022-04-12
 033F21A   | 2022-04-08
 070H21A   | 2022-04-07
 068F21A   | 2022-04-07
 069H21A   | 2022-04-06
 067F21A   | 2022-04-06
 066H21A   | 2022-04-04
 067H21A   | 2022-04-03
 039F21A   | 2022-04-03
 066F21A   | 2022-04-03
 068H21A   | 2022-04-02
 940877    | 2022-04-02
 037F21A   | 2022-04-01
 064H21A   | 2022-04-01
 940875    | 2022-03-31
 036F21A   | 2022-03-30
 940876    | 2022-03-29
 034F21A   | 2022-03-29
 060H21A   | 2022-03-28
 939906    | 2022-03-28
 071F21A   | 2022-03-28
 018F21A   | 2022-03-28
 017F21A   | 2022-03-27
 059H21A   | 2022-03-27
 021F21A   | 2022-03-26
 940874    | 2022-03-26
 058H21A   | 2022-03-26
 033H21A   | 2022-03-25
 939905    | 2022-03-25
 051F21A   | 2022-03-25
 939904    | 2022-03-24
 031H21A   | 2022-03-24
 032H21A   | 2022-03-24
 029H21B   | 2022-03-23
 030H21B   | 2022-03-23
 014F21A   | 2022-03-23
 016F21A   | 2022-03-21
 940068    | 2022-03-21
 027H21B   | 2022-03-20
 013H21B   | 2022-03-19
 940067    | 2022-03-19
 012F21A   | 2022-03-19
 011F21A   | 2022-03-19
 939903    | 2022-03-18
 062E21A   | 2022-03-18
 939919    | 2022-03-18
 012H21B   | 2022-03-18
 061E21A   | 2022-03-17
 939902    | 2022-03-17
 004F21A   | 2022-03-17
 052E21A   | 2022-03-15
 003F21A   | 2022-03-15
 053E21A   | 2022-03-15
 939901    | 2022-03-15
 002F21A   | 2022-03-14
 939918    | 2022-03-12
 059E21A   | 2022-03-11
 939899    | 2022-03-10
 058E21A   | 2022-03-10
 939917    | 2022-03-10
 939916    | 2022-03-09
 047E21A   | 2022-03-06
 046G21A   | 2022-03-05
 939915    | 2022-03-05
 020E21A   | 2022-03-04
 018E21A   | 2022-03-03
 017E21A   | 2022-03-03
 019G21A   | 2022-03-02
 939914    | 2022-03-02
 019E21A   | 2022-03-02
 016E21A   | 2022-03-01
 088D21A   | 2022-02-25
 015G21A   | 2022-02-25
 939912    | 2022-02-22
 010G21B   | 2022-02-21
 939911    | 2022-02-21
 083F21B   | 2022-02-20
 085D21A   | 2022-02-19
 093D21A   | 2022-02-14
 092D21A   | 2022-02-13
 091D21A   | 2022-02-12
 045D21A   | 2022-02-11
 044D21A   | 2022-02-10
 043D21A   | 2022-02-09
 939909    | 2022-02-08
 042D21A   | 2022-02-07
 069F21A   | 2022-02-07
 058F21A   | 2022-02-05
 065F21A   | 2022-02-04
 039D21A   | 2022-02-01
 038F21A   | 2022-02-01
 939908    | 2022-02-01
 072F21A   | 2022-01-29
 035F21A   | 2022-01-29
 032F21A   | 2022-01-29
 022F21A   | 2022-01-27
 026D21A   | 2022-01-26
 025D21A   | 2022-01-25
 050F21A   | 2022-01-24
 012D21A   | 2022-01-23
 049F21A   | 2022-01-23
 013F21A   | 2022-01-22
 011D21A   | 2022-01-22
 048F21A   | 2022-01-22
 006D21A   | 2022-01-21
 020F21A   | 2022-01-21
 010D21A   | 2022-01-21
 015F21A   | 2022-01-20
 019F21A   | 2022-01-20
 079C21A   | 2022-01-16
 078C21A   | 2022-01-15
 051E21A   | 2022-01-14
 077C21B   | 2022-01-14
 076C21A   | 2022-01-13
 001F21A   | 2022-01-12
 939900    | 2022-01-12
 052C21A   | 2022-01-10
 053C21A   | 2022-01-09
 057E21A   | 2022-01-09
 048E21A   | 2022-01-07
 055E21A   | 2022-01-06
 050C21A   | 2022-01-06
 045C21A   | 2022-01-04
 037C21A   | 2022-01-02
